Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"WDI","WIRECARD AG","Equity","0.61","69.25","11,101.00","768,790.83","768,790.83","Information Technology","7508927","DE0007472060","Xetra","Germany","USD","EUR","0.88"
"MTX","MTU AERO ENGINES HOLDING AG","Equity","0.56","142.57","4,921.00","701,580.82","701,580.82","Industrials","B09DHL9","DE000A0D9PT0","Xetra","Germany","USD","EUR","0.88"
"RCF","TELEPERFORMANCE","Equity","0.55","125.80","5,476.00","688,895.39","688,895.39","Industrials","5999330","FR0000051807","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"SK3","SMURFIT KAPPA GROUP PLC","Equity","0.54","30.51","22,493.00","686,254.96","686,254.96","Materials","B1RR828","IE00B1RR8406","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.88"
"INF","INFORMA PLC","Equity","0.53","8.64","77,976.00","673,451.38","673,451.38","Consumer Discretionary","BMJ6DW5","GB00BMJ6DW54","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CLN","CLARIANT AG","Equity","0.51","22.73","28,286.00","643,003.83","643,003.83","Materials","7113990","CH0012142631","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.96"
"MCRO","MICRO FOCUS INTERNATIONAL PLC","Equity","0.49","28.42","21,710.00","617,040.70","617,040.70","Information Technology","BQY7BX8","GB00BQY7BX88","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RTO","RENTOKIL INITIAL PLC","Equity","0.48","3.48","173,111.00","602,970.97","602,970.97","Industrials","B082RF1","GB00B082RF11","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SMDS","DS SMITH PLC","Equity","0.45","6.27","89,509.00","560,959.53","560,959.53","Materials","0822011","GB0008220112","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MRO","MELROSE INDUSTRIES PLC","Equity","0.44","3.08","178,423.00","550,315.89","550,315.89","Industrials","BZ1G432","GB00BZ1G4322","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"LEG","LEG IMMOBILIEN N AG","Equity","0.43","90.23","5,986.00","540,110.26","540,110.26","Real Estate","B9G6L89","DE000LEG1110","Xetra","Germany","USD","EUR","0.88"
"LOGN","LOGITECH INTERNATIONAL SA","Equity","0.43","36.50","14,742.00","538,118.59","538,118.59","Information Technology","B18ZRK2","CH0025751329","Swiss Exchange","Switzerland","USD","CHF","0.96"
"TREL B","TRELLEBORG B","Equity","0.42","22.97","22,921.00","526,526.67","526,526.67","Industrials","4902384","SE0000114837","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"KGX","KION GROUP AG","Equity","0.41","77.17","6,695.00","516,650.56","516,650.56","Industrials","BB22L96","DE000KGX8881","Xetra","Germany","USD","EUR","0.88"
"HLMA","HALMA PLC","Equity","0.40","14.14","35,906.00","507,702.29","507,702.29","Information Technology","0405207","GB0004052071","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BAMI","BANCO BPM","Equity","0.40","3.53","143,287.00","506,293.71","506,293.71","Financials","BYMD5K9","IT0005218380","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"TEMN","TEMENOS GROUP AG","Equity","0.40","89.41","5,596.00","500,353.70","500,353.70","Information Technology","7147892","CH0012453913","Swiss Exchange","Switzerland","USD","CHF","0.96"
"KRX","KINGSPAN GROUP PLC","Equity","0.39","34.33","14,414.00","494,840.62","494,840.62","Industrials","4491235","IE0004927939","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.88"
"SPX","SPIRAX-SARCO ENGINEERING PLC","Equity","0.38","69.40","6,965.00","483,398.58","483,398.58","Industrials","BWFGQN1","GB00BWFGQN14","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RMV","RIGHTMOVE PLC","Equity","0.38","54.25","8,814.00","478,196.65","478,196.65","Information Technology","B2987V8","GB00B2987V85","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BWY","BELLWAY PLC","Equity","0.36","39.45","11,607.00","457,943.50","457,943.50","Consumer Discretionary","0090498","GB0000904986","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"UBI","UNIONE DI BANCHE ITALIANE","Equity","0.36","4.68","97,429.00","456,047.34","456,047.34","Financials","7622225","IT0003487029","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"FHZN","FLUGHAFEN ZUERICH AG","Equity","0.36","240.93","1,886.00","454,387.04","454,387.04","Industrials","BYQ8481","CH0319416936","Swiss Exchange","Switzerland","USD","CHF","0.96"
"HSX","HISCOX LTD","Equity","0.36","16.76","27,101.00","454,086.98","454,086.98","Financials","BVZHXQ9","BMG4593F1389","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"JE.","JUST EAT PLC","Equity","0.35","8.62","51,366.00","442,965.03","442,965.03","Information Technology","BKX5CN8","GB00BKX5CN86","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ORP","ORPEA S.A.","Equity","0.35","109.56","4,011.00","439,450.11","439,450.11","Health Care","7339451","FR0000184798","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"SCAB","SVENSKA CELLULOSA B","Equity","0.35","7.59","57,473.00","435,996.67","435,996.67","Materials","B1VVGZ5","SE0000112724","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"RUI","RUBIS SCA","Equity","0.34","110.63","3,886.00","429,921.20","429,921.20","Utilities","4713100","FR0000121253","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"MRL","MERLIN PROPERTIES REIT SA","Equity","0.34","12.65","33,845.00","428,095.23","428,095.23","Real Estate","BNGNB77","ES0105025003","Bolsa De Madrid","Spain","USD","EUR","0.88"
"GBP","GBP CASH","Cash","0.33","129.49","321,695.00","416,547.41","416,547.41","Cash and/or Derivatives","-","-","-","United Kingdom","USD","GBP","0.77"
"GN","GN STORE NORD A/S","Equity","0.32","28.88","13,901.00","401,462.92","401,462.92","Health Care","4501093","DK0010272632","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
"PNN","PENNON GROUP PLC","Equity","0.32","10.25","39,143.00","401,166.34","401,166.34","Utilities","B18V863","GB00B18V8630","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SAZ","STADA ARZNEIMITTEL NPV REGDVINKULI","Equity","0.32","71.72","5,554.00","398,320.57","398,320.57","Health Care","5386750","DE0007251803","Xetra","Germany","USD","EUR","0.88"
"RHM","RHEINMETALL AG","Equity","0.32","96.44","4,120.00","397,353.02","397,353.02","Industrials","5334588","DE0007030009","Xetra","Germany","USD","EUR","0.88"
"BOK","BOOKER GROUP PLC","Equity","0.31","2.46","160,476.00","395,428.84","395,428.84","Consumer Staples","B01TND9","GB00B01TND91","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RPC","RPC GROUP PLC","Equity","0.31","10.02","39,177.00","392,383.70","392,383.70","Materials","0719737","GB0007197378","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"INCH","INCHCAPE PLC","Equity","0.31","9.77","39,867.00","389,486.37","389,486.37","Consumer Discretionary","B61TVQ0","GB00B61TVQ02","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BBA","BBA AVIATION PLC","Equity","0.31","3.96","97,490.00","386,278.88","386,278.88","Industrials","B1FP891","GB00B1FP8915","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"FNTN","FREENET AG","Equity","0.31","31.85","12,113.00","385,797.34","385,797.34","Telecommunications","B1SK0S6","DE000A0Z2ZZ5","Xetra","Germany","USD","EUR","0.88"
"CPR","DAVIDE CAMPARI MILANO","Equity","0.30","6.98","54,978.00","383,755.57","383,755.57","Consumer Staples","BZ4CMZ5","IT0005252207","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"ACKB","ACKERMANS NV","Equity","0.30","170.00","2,236.00","380,117.71","380,117.71","Financials","5715774","BE0003764785","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"AALB","AALBERTS INDUSTRIES N.V.","Equity","0.30","40.03","9,410.00","376,713.40","376,713.40","Industrials","B1W8P14","NL0000852564","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"ASC","ASOS PLC","Equity","0.30","72.85","5,132.00","373,857.28","373,857.28","Consumer Discretionary","3092725","GB0030927254","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"EO","FAURECIA S.A.","Equity","0.30","51.91","7,185.00","372,947.70","372,947.70","Consumer Discretionary","4400446","FR0000121147","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"FI.N","FISCHER GEORGE AG","Equity","0.29","959.55","387.00","371,346.38","371,346.38","Industrials","4341783","CH0001752309","Swiss Exchange","Switzerland","USD","CHF","0.96"
"JYSK","JYSKE BANK","Equity","0.29","58.76","6,285.00","369,289.12","369,289.12","Financials","B0386J1","DK0010307958","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
"SXS","SPECTRIS PLC","Equity","0.29","32.59","11,264.00","367,109.24","367,109.24","Information Technology","0330860","GB0003308607","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MONC","MONCLER","Equity","0.29","23.60","15,368.00","362,653.75","362,653.75","Consumer Discretionary","BGLP232","IT0004965148","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"PSPN","PSP SWISS PROPERTY AG","Equity","0.29","92.22","3,907.00","360,290.36","360,290.36","Real Estate","B012877","CH0018294154","Swiss Exchange","Switzerland","USD","CHF","0.96"
"UBI","UBISOFT ENTERTAINMENT SA","Equity","0.28","55.28","6,481.00","358,248.65","358,248.65","Information Technology","B1L3CS6","FR0000054470","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"GL9","GLANBIA PLC","Equity","0.28","19.44","18,397.00","357,650.09","357,650.09","Consumer Staples","4058629","IE0000669501","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.88"
"CAST","CASTELLUM AB","Equity","0.28","14.51","24,497.00","355,438.65","355,438.65","Real Estate","B0XP0T0","SE0000379190","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"UN01","UNIPER","Equity","0.28","18.65","19,032.00","354,908.59","354,908.59","Utilities","BZ6CZ43","DE000UNSE018","Xetra","Germany","USD","EUR","0.88"
"PHNX","PHOENIX GROUP HOLDINGS","Equity","0.28","9.99","35,399.00","353,627.79","353,627.79","Financials","B45JKK9","KYG7091M1096","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"HELN","HELVETIA HOLDING AG","Equity","0.28","577.39","610.00","352,209.36","352,209.36","Financials","7189292","CH0012271687","Swiss Exchange","Switzerland","USD","CHF","0.96"
"SRT3","SARTORIUS PREF AG","Equity","0.27","101.99","3,362.00","342,883.59","342,883.59","Health Care","5843329","DE0007165631","Xetra","Germany","USD","EUR","0.88"
"DLN","DERWENT LONDON PLC","Equity","0.27","34.26","10,005.00","342,788.62","342,788.62","Real Estate","0265274","GB0002652740","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"HUH1V","HUHTAMAKI","Equity","0.27","39.31","8,658.00","340,387.18","340,387.18","Materials","4447476","FI0009000459","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"SUBC","SUBSEA SA","Equity","0.27","13.71","24,734.00","339,158.41","339,158.41","Energy","5258246","LU0075646355","Oslo Bors Asa","Norway","USD","NOK","8.36"
"AMS","AUSTRIA MIKRO SYSTEME AG","Equity","0.27","64.85","5,205.00","337,558.80","337,558.80","Information Technology","BPF0548","AT0000A18XM4","Swiss Exchange","Switzerland","USD","CHF","0.96"
"UBM","UNITED BUSINESS MEDIA PLC","Equity","0.26","8.79","37,225.00","327,042.37","327,042.37","Consumer Discretionary","BD9WR06","JE00BD9WR069","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"EKTA B","ELEKTA B","Equity","0.26","9.36","34,835.00","325,895.95","325,895.95","Health Care","B0M42T2","SE0000163628","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"BEZ","BEAZLEY PLC","Equity","0.26","6.56","49,670.00","325,756.49","325,756.49","Financials","BYQ0JC6","GB00BYQ0JC66","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"TCAP","TP ICAP PLC","Equity","0.26","6.17","52,766.00","325,359.15","325,359.15","Financials","B1H0DZ5","GB00B1H0DZ51","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ECM","ELECTROCOMPONENTS PLC","Equity","0.26","7.79","41,745.00","325,131.88","325,131.88","Information Technology","0309644","GB0003096442","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BTG","BTG PLC","Equity","0.26","8.89","36,359.00","323,200.43","323,200.43","Health Care","0100159","GB0001001592","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"HWDN","HOWDEN JOINERY GROUP PLC","Equity","0.26","5.41","59,493.00","321,773.15","321,773.15","Industrials","0557681","GB0005576813","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"LIGHT","PHILIPS LIGHTING NV","Equity","0.25","37.70","8,512.00","320,909.89","320,909.89","Industrials","BYY7VY5","NL0011821392","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
